Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-02-18 00:00:00+05:30,109601.0,109999.953125,108700.0,109020.453125,3139,0.0,0.0
2025-02-19 00:00:00+05:30,108800.0,109900.0,108269.1015625,109570.703125,3428,0.0,0.0
2025-02-20 00:00:00+05:30,109750.0,110400.0,108880.6015625,109938.703125,3751,0.0,0.0
2025-02-21 00:00:00+05:30,109900.0,110371.0,108786.0,109263.296875,5319,0.0,0.0
2025-02-24 00:00:00+05:30,109260.0,109500.0,108149.0,108842.0,4368,0.0,0.0
2025-02-25 00:00:00+05:30,108700.0,109244.953125,107000.0,107203.953125,4923,0.0,0.0
2025-02-27 00:00:00+05:30,107399.0,107879.8515625,105250.453125,105723.3984375,8469,0.0,0.0
2025-02-28 00:00:00+05:30,105480.0,105649.75,103824.1015625,105373.703125,8766,0.0,0.0
2025-03-03 00:00:00+05:30,105500.0,106190.8515625,104025.0,105170.25,4599,0.0,0.0
2025-03-04 00:00:00+05:30,104900.0,105170.25,102351.0,102659.3984375,13881,0.0,0.0
2025-03-05 00:00:00+05:30,102345.6015625,105962.5,102124.046875,105805.5,6770,0.0,0.0
2025-03-06 00:00:00+05:30,106995.5,108250.0,106500.046875,107795.296875,5969,0.0,0.0
2025-03-07 00:00:00+05:30,107500.0,108650.0,107001.5,107202.953125,4698,0.0,0.0
2025-03-10 00:00:00+05:30,107839.0,108197.953125,106174.75,106650.6015625,5348,0.0,0.0
2025-03-11 00:00:00+05:30,106500.0,106859.953125,105576.046875,106534.296875,3772,0.0,0.0
2025-03-12 00:00:00+05:30,107000.0,107475.75,106309.0,107264.25,3589,0.0,0.0
2025-03-13 00:00:00+05:30,107264.25,107264.25,104800.0,105041.6015625,9096,0.0,0.0
2025-03-17 00:00:00+05:30,105200.0,106440.703125,105200.0,105410.796875,3890,0.0,0.0
2025-03-18 00:00:00+05:30,105410.796875,105410.796875,105410.796875,105410.796875,0,0.0,0.0
2025-03-19 00:00:00+05:30,107999.703125,110099.0,107999.703125,109922.796875,6057,0.0,0.0
2025-03-20 00:00:00+05:30,110500.0,111450.0,110161.1484375,111107.8984375,5687,0.0,0.0
